기준일,발행회사명,배당기준일,현금배당지급일,배당유형,배당금액,현금배당률(%),주식배당률(%)
20250314,신한은행,20111231,,현금배당,246,4.92,0
20250314,신한은행,20131231,,현금배당,227.04,4.5408,0
20250314,동화약품,19900331,19900625,현금배당,0,12,0
20250314,동화약품,19910331,19910625,동시배당,0,2,5.44225838
20250314,동화약품,19920331,19920629,동시배당,0,2,5.05050505
20250314,동화약품,19930331,19930628,동시배당,0,2,5.22922636
20250314,동화약품,19940331,19940627,동시배당,0,2,4.365079
20250314,동화약품,19950331,19950626,현금배당,0,10,0
20250314,동화약품,19960331,19960628,동시배당,0,2,4.08394
20250314,동화약품,19970331,19970627,동시배당,0,3,5.12820512
20250314,동화약품,19980331,19980716,동시배당,0,1,3
20250314,동화약품,19990331,19990628,동시배당,0,1,3.0109578
20250314,동화약품,20000331,20000626,동시배당,0,1,3
20250314,동화약품,20010331,20010625,동시배당,0,2,3
20250314,동화약품,20020331,20020621,현금배당,0,8,0
20250314,동화약품,20030331,20030627,현금배당,500,10,0
20250314,동화약품,20040331,20040625,현금배당,500,10,0
20250314,동화약품,20050331,20050624,현금배당,500,10,0
20250314,동화약품,20060331,20060623,현금배당,500,10,0
20250314,동화약품,20070331,20070622,현금배당,600,12,0
20250314,동화약품,20080331,20080630,현금배당,700,14,0
20250314,동화약품,20090331,20090626,현금배당,750,15,0
20250314,동화약품,20091231,20100416,현금배당,100,10,0
20250314,동화약품,20101231,20110415,현금배당,100,10,0
20250314,동화약품,20111231,20120413,현금배당,100,10,0
20250314,동화약품,20121231,20130419,현금배당,80,8,0
20250314,동화약품,20131231,20140418,현금배당,70,7,0
20250314,동화약품,20141231,20150424,현금배당,80,8,0
20250314,동화약품,20151231,20160422,현금배당,80,8,0
20250314,동화약품,20161231,20170414,현금배당,110,11,0
20250314,동화약품,20171231,20180419,현금배당,150,15,0
20250314,동화약품,20181231,20190415,현금배당,120,12,0
20250314,동화약품,20191231,20200410,현금배당,120,12,0
20250314,동화약품,20201231,20210416,현금배당,180,18,0
20250314,동화약품,20211231,20220422,현금배당,180,18,0
20250314,동화약품,20221231,20230420,현금배당,180,18,0
20250314,동화약품,20231231,20240425,현금배당,180,18,0
20250314,동화약품,20241231,,현금배당,180,18,0
20250314,우리은행,19881230,19890104,현금배당,0,6,0
20250314,우리은행,19881231,19890104,현금배당,0,4,0
20250314,우리은행,19891230,19900223,현금배당,0,7,0
20250314,우리은행,19891231,19900222,현금배당,0,4,0
20250314,우리은행,19901230,19910222,현금배당,0,7,0
20250314,우리은행,19901231,19910221,현금배당,0,5,0
20250314,우리은행,19911230,19920226,현금배당,0,7,0
20250314,우리은행,19911231,19920226,현금배당,0,5,0
20250314,우리은행,19921230,19930223,현금배당,0,7,0
20250314,우리은행,19921231,19930222,현금배당,0,2,0
20250314,우리은행,19931230,19940223,현금배당,0,7,0
20250314,우리은행,19931231,,무배당,0,0,0
20250314,우리은행,19941230,19950224,현금배당,0,6,0
20250314,우리은행,19941231,19950223,현금배당,0,2,0
20250314,우리은행,19951230,19960224,현금배당,200,0,0
20250314,우리은행,19951231,19960223,현금배당,150,0,0
20250314,우리은행,19961230,19970227,현금배당,0,3,0
20250314,우리은행,19961231,19970228,현금배당,0,3,0
20250314,우리은행,19971230,,무배당,0,0,0
20250314,우리은행,19971231,,무배당,0,0,0
20250314,우리은행,19981231,,무배당,0,0,0
20250314,우리은행,19991231,,무배당,0,0,0
20250314,우리은행,20001231,,무배당,0,0,0
20250314,우리은행,20011231,,현금배당,0,2,0
20250314,우리은행,20021231,,현금배당,250,5,0
20250314,우리은행,20031231,,현금배당,420,8.4,0
20250314,우리은행,20041231,,무배당,0,0,0
20250314,우리은행,20071231,,현금배당,315,6.3,0
20250314,우리은행,20091231,20100413,현금배당,330,6.6,0
20250314,우리은행,20101231,20110413,현금배당,476,9.52,0
20250314,우리은행,20111231,20120418,현금배당,608,12.16,0
20250314,우리은행,20121231,20130416,현금배당,0,0,0
20250314,우리은행,20131231,,현금배당,275,5.5,0
20250314,우리은행,20141231,20150415,현금배당,500,10,0
20250314,우리은행,20150630,20150813,현금배당,250,5,0
20250314,우리은행,20151231,20160415,현금배당,250,5,0
20250314,우리은행,20161231,20170414,현금배당,400,8,0
20250314,우리은행,20170630,20170811,현금배당,100,2,0
20250314,우리은행,20171231,20180411,현금배당,500,10,0
20250314,우리은행,20181231,20190417,현금배당,650,13,0
20250314,우리은행,20190612,20190619,현금배당,1000,20,0
20250314,케이알모터스,19871231,19880104,현금배당,0,12,0
20250314,케이알모터스,19891231,19900402,현금배당,0,8,0
20250314,케이알모터스,19901231,19910401,현금배당,0,5,0
20250314,케이알모터스,19911231,19920401,현금배당,0,5,0
20250314,케이알모터스,19921231,,무배당,0,0,0
20250314,케이알모터스,19931231,,무배당,0,0,0
20250314,케이알모터스,19941231,,무배당,0,0,0
20250314,케이알모터스,19951231,,무배당,0,0,0
20250314,케이알모터스,19961231,19970411,동시배당,0,3,2
20250314,케이알모터스,19971231,,무배당,0,0,0
20250314,케이알모터스,19981231,,무배당,0,0,0
20250314,케이알모터스,19991231,,무배당,0,0,0
20250314,케이알모터스,20001231,,무배당,0,0,0
20250314,케이알모터스,20011231,,무배당,0,0,0
20250314,케이알모터스,20021231,,무배당,0,0,0
20250314,케이알모터스,20031231,,무배당,0,0,0
20250314,케이알모터스,20041231,,무배당,0,0,0
20250314,케이알모터스,20051231,,무배당,0,0,0
20250314,케이알모터스,20061231,,무배당,0,0,0
20250314,케이알모터스,20071231,,무배당,0,0,0
20250314,케이알모터스,20081231,,무배당,0,0,0
